


		Rh/Fe THERMOMETER CALIBRATION FILE
		----------------------------------

Temperature K	Resistance in ohms

          NEXT SENSOR
 225.816			        22.28311
 250.719			        24.78267
 273.088			        27.01997
 273.355			        27.04652
 299.869			        29.69727
    325.00000     32.21652
    350.00000     34.71951
    375.00000     37.22250
    400.00000     39.72549
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1766
   1.497			         1.53222
   2.029			         1.62214
   2.803			         1.74568
   3.208			         1.80663
   4.006			         1.92006
   4.222			         1.94933
   5.399			         2.09747
   6.221			         2.19148
   7.011			         2.27523
   8.002			         2.37215
  10.065			         2.55011
  13.079			         2.76580
  16.047			         2.94158
  20.002			         3.13763
  25.086			         3.35310
  27.194			         3.43711
  30.370			         3.56369
  35.194			         3.76652
  40.072			         3.99579
  50.047			         4.56938
  59.916			         5.28392
  70.300			         6.17083
  80.313			         7.12307
  90.305			         8.13550
 100.192			         9.17346
 125.328			        11.86652
 150.396			        14.53388
 175.610			        17.16490
 200.765			        19.74308
 225.816			        22.27741
 250.719			        24.77680
 273.088			        27.01405
 273.354			        27.04057
 299.870			        29.69121
    325.00000     32.21019
    350.00000     34.71303
    375.00000     37.21587
    400.00000     39.71870
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1767
   1.497			         1.52758
   2.029			         1.61727
   2.803			         1.74044
   3.208			         1.80147
   4.006			         1.91458
   4.222			         1.94373
   5.399			         2.09177
   6.221			         2.18560
   7.011			         2.26924
   8.002			         2.36602
  10.065			         2.54378
  13.079			         2.75921
  16.048			         2.93478
  20.002			         3.13062
  25.086			         3.34596
  27.194			         3.42993
  30.370			         3.55649
  35.194			         3.75896
  40.072			         3.98797
  50.047			         4.56088
  59.916			         5.27485
  70.300			         6.16120
  80.313			         7.11291
  90.305			         8.12505
 100.192			         9.16294
 125.329			        11.85616
 150.396			        14.52410
 175.610			        17.15596
 200.765			        19.73517
 225.816			        22.27048
 250.719			        24.77101
 273.089			        27.00924
 273.354			        27.03579
 299.870			        29.68766
    325.00000     32.20779
    350.00000     34.71177
    375.00000     37.21575
    400.00000     39.71972
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1786
   1.497			         1.52652
   2.029			         1.61626
   2.803			         1.73962
   3.208			         1.80076
   4.006			         1.91391
   4.222			         1.94308
   5.399			         2.09112
   6.221			         2.18501
   7.011			         2.26869
   8.002			         2.36556
  10.065			         2.54348
  13.079			         2.75914
  16.048			         2.93476
  20.002			         3.13080
  25.086			         3.34626
  27.194			         3.43032
  30.370			         3.55688
  35.194			         3.75957
  40.072			         3.98859
  50.047			         4.56152
  59.916			         5.27531
  70.301			         6.16153
  80.313			         7.11315
  90.305			         8.12531
 100.192			         9.16322
 125.330			        11.85708
 150.396			        14.52580
 175.610			        17.15889
 200.765			        19.73943
 225.816			        22.27627
 250.719			        24.77847
 273.089			        27.01824
 273.354			        27.04476
 299.870			        29.69856
    325.00000     32.22040
    350.00000     34.72610
    375.00000     37.23181
    400.00000     39.73751
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1872
   1.491			         1.51295
   2.005			         1.59954
   2.807			         1.72705
   3.211			         1.78773
   4.005			         1.90050
   4.225			         1.92992
   5.403			         2.07799
   7.010			         2.25468
   8.015			         2.35267
  10.085			         2.53075
  13.062			         2.74309
  16.008			         2.91740
  20.029			         3.11655
  24.877			         3.32220
  27.368			         3.42124
  30.384			         3.54142
  34.942			         3.73236
  39.846			         3.96113
  50.371			         4.56652
  60.320			         5.29153
  70.107			         6.12874
  80.139			         7.08138
  90.183			         8.09896
 100.247			         9.15644
 125.165			        11.82938
 150.257			        14.50374
 175.478			        17.14012
 200.601			        19.72038
